자치구 명,거래년도,소형 거래건수,중소형 거래건수,중형 거래건수,중대형 거래건수,대형 거래건수,소형 거래금액,중소형 거래금액,중형 거래금액,중대형 거래금액,대형 거래금액
강남구,2019.0,89.45454545454545,103.81818181818181,15.818181818181818,41.45454545454545,21.363636363636363,881124413.6818181,1297085782.9047618,1302055150.1578948,1551772301.8095238,1600536089.65
강동구,2019.0,114.72222222222223,191.55555555555554,16.72222222222222,38.27777777777778,4.611111111111111,553318160.3529412,701246694.1111112,710203967.8,825633183.117647,843763183.8181819
강북구,2019.0,84.3076923076923,107.6923076923077,0.3076923076923077,29.53846153846154,0.9230769230769231,292754668.46153843,410093636.53846157,822025000.0,482648864.6,498375000.0
강서구,2019.0,162.15,163.35,9.1,37.25,7.0,381762546.95,526688482.4,516529219.21428573,706495484.0555556,745067302.2
관악구,2019.0,90.19047619047619,83.95238095238095,5.0476190476190474,30.0,2.5238095238095237,342745188.52380955,489207657.04761904,507207228.1666667,596798724.4,711036477.25
광진구,2019.0,53.0,91.06666666666666,4.066666666666666,14.533333333333333,18.666666666666668,447593216.2307692,605242853.9333333,678991428.6,781485592.0,1030214681.375
구로구,2019.0,188.73333333333332,203.66666666666666,7.733333333333333,38.46666666666667,6.466666666666667,324180692.4,446622608.6666667,470636284.875,562011202.75,643728198.4
금천구,2019.0,111.7,102.1,10.8,30.2,0.4,296047841.6,386610626.3,426893615.5714286,487739931.5714286,599666666.5
노원구,2019.0,407.05263157894734,199.1578947368421,13.421052631578947,44.421052631578945,4.947368421052632,313071485.0,463040385.2631579,507901261.8333333,594005911.875,619849049.0
도봉구,2019.0,172.35714285714286,198.35714285714286,8.714285714285714,26.928571428571427,4.928571428571429,259055124.35714287,385918583.0,500087970.0,522482925.0,622515768.375
동대문구,2019.0,141.71428571428572,146.92857142857142,11.285714285714286,49.357142857142854,3.0714285714285716,403445988.0,562197089.4285715,556038358.9,658889821.7142857,665920317.4285715
동작구,2019.0,83.8,151.33333333333334,1.8,59.86666666666667,8.133333333333333,523539217.1333333,690999462.7333333,582593589.7692307,823778815.4285715,1068116610.2857143
마포구,2019.0,121.3125,137.125,4.5,46.875,12.625,535357707.1875,756792606.5,679883863.6363636,927737606.375,1095869366.1818182
서대문구,2019.0,105.14285714285714,136.85714285714286,2.5,35.5,5.928571428571429,438445629.0,589267511.3571428,476681428.6,671998288.1428572,763237217.7777778
서초구,2019.0,55.22222222222222,101.94444444444444,16.555555555555557,50.666666666666664,39.5,869484935.3125,1220147178.6111112,1203149991.1333334,1355957228.0,1563021486.4117646
성동구,2019.0,109.6470588235294,125.6470588235294,5.411764705882353,38.94117647058823,5.882352941176471,627159171.0588236,791270705.9411764,871683964.6666666,941217805.6666666,1343703807.6666667
성북구,2019.0,144.4,166.95,2.15,62.4,2.95,412704916.35,498520359.4,482752604.125,589487447.65,738651308.75
송파구,2019.0,97.23076923076923,167.69230769230768,15.307692307692308,44.07692307692308,27.153846153846153,617862445.0434783,917452800.3076923,1001085018.2631578,1159540635.08,1232690051.4736843
양천구,2019.0,114.11111111111111,170.66666666666666,22.77777777777778,43.22222222222222,22.77777777777778,465083434.2222222,582138645.1666666,681479479.8666667,777406499.5882353,969710438.1538461
영등포구,2019.0,119.16666666666667,135.66666666666666,9.666666666666666,35.0,18.555555555555557,452492375.1111111,647326375.3333334,740705109.9,804214659.2352941,990616059.8888888
용산구,2019.0,44.4375,47.5,8.375,32.3125,23.1875,588979691.6428572,801219750.125,1030285264.2222222,1109532858.0666666,1422204691.4166667
은평구,2019.0,116.5,152.75,16.875,35.375,9.5,361617606.9375,444168789.1875,486544304.8,562916353.4666667,596489278.6363636
종로구,2019.0,25.055555555555557,21.333333333333332,2.888888888888889,9.555555555555555,6.722222222222222,390495131.875,650542568.3333334,684651795.0,845954519.2727273,1021795785.5
중구,2019.0,42.6,45.8,1.1333333333333333,26.333333333333332,7.933333333333334,432233320.9230769,572767873.1428572,616654545.4,893624356.4166666,1051731341.2222222
중랑구,2019.0,109.8125,122.9375,10.875,26.5,1.0,290100235.3125,429895248.1333333,507476197.5,565236715.8181819,839812500.0
