자치구 명,거래년도,소형 거래건수,중소형 거래건수,중형 거래건수,중대형 거래건수,대형 거래건수,소형 거래금액,중소형 거래금액,중형 거래금액,중대형 거래금액,대형 거래금액
강남구,2020.0,59.90909090909091,66.27272727272727,14.227272727272727,33.18181818181818,26.272727272727273,968873307.3136364,1243788035.831818,792261979.6731819,898229061.4727273,412843297.52181816
강동구,2020.0,110.55555555555556,142.77777777777777,6.888888888888889,29.88888888888889,3.1666666666666665,617305214.2944444,795098210.7888889,613827334.7666667,894357873.3277777,526557309.2222222
강북구,2020.0,74.61538461538461,87.92307692307692,0.7692307692307693,22.76923076923077,0.6153846153846154,362192770.7307692,484535982.1615385,147942307.69230768,428058587.3923077,129743589.74615385
강서구,2020.0,138.85,112.9,12.85,25.45,4.0,451440876.15,614330745.015,440926560.525,762125153.08,429293158.125
관악구,2020.0,64.57142857142857,63.142857142857146,2.5714285714285716,22.285714285714285,1.380952380952381,406667649.2,606934492.152381,336006565.6571429,620644498.147619,151990079.36666664
광진구,2020.0,38.2,56.6,2.2666666666666666,8.333333333333334,11.4,522260004.93333334,726257565.9533333,222325714.26000002,629495938.1,696206658.3333334
구로구,2020.0,153.26666666666668,167.53333333333333,5.666666666666667,28.6,4.666666666666667,408530525.88,549213284.0066667,268891793.62666667,543011562.5,278108714.5866667
금천구,2020.0,87.6,76.5,6.8,19.8,0.5,324000582.94,459294739.59,355656302.52,469591216.45,96400000.0
노원구,2020.0,349.63157894736844,159.47368421052633,9.421052631578947,34.36842105263158,2.8421052631578947,384148358.58947366,578202629.0210526,384322038.3,627812787.4894737,237915086.08421054
도봉구,2020.0,148.42857142857142,166.28571428571428,10.571428571428571,16.785714285714285,4.714285714285714,291380330.6357143,455877572.70714283,329692111.38571423,499718845.55,386907692.30714285
동대문구,2020.0,118.21428571428571,110.21428571428571,6.0,34.357142857142854,2.2857142857142856,514141069.0,717412932.0,427741193.89285713,772388806.3142856,333275510.21428573
동작구,2020.0,65.46666666666667,119.13333333333334,1.9333333333333333,38.666666666666664,5.066666666666666,657597443.4733334,864658651.4266666,312415151.53333336,940698051.8466667,827821164.0
마포구,2020.0,85.4375,97.8125,3.3125,25.875,6.125,654569685.175,929088547.23125,527992999.16875,1112815351.24375,756304926.04375
서대문구,2020.0,87.28571428571429,122.42857142857143,2.5714285714285716,26.714285714285715,4.071428571428571,564707308.2571429,762876176.9357144,381010204.0714286,863542346.1071428,651031250.0
서초구,2020.0,38.44444444444444,69.22222222222223,11.333333333333334,31.166666666666668,31.11111111111111,873941884.4277778,1117440592.2722223,1077384555.0055554,1029695341.7638888,796129050.1277777
성동구,2020.0,91.11764705882354,101.41176470588235,2.588235294117647,29.823529411764707,4.882352941176471,786744643.7647059,979375823.5470588,287038120.7058824,1022169145.0647058,419953893.11764705
성북구,2020.0,115.6,118.35,3.6,39.2,2.7,518611218.84,638115911.2850001,335022165.99,725264603.21,348783361.20500004
송파구,2020.0,67.6923076923077,109.0,11.423076923076923,26.76923076923077,19.576923076923077,685480753.0653846,1097434079.353846,703599965.3076923,1058465501.2307693,710612265.4807693
양천구,2020.0,76.16666666666667,117.0,13.333333333333334,24.88888888888889,11.277777777777779,591117543.7722222,725737885.4611111,731862034.0555556,833941702.3444445,590716948.5333333
영등포구,2020.0,86.83333333333333,100.72222222222223,6.111111111111111,19.27777777777778,10.11111111111111,617540659.7833333,850435995.1500001,554563124.5166667,1036483671.5111111,506780015.4333333
용산구,2020.0,28.625,30.1875,4.4375,18.3125,19.9375,623361471.8125,1018554935.28125,588730124.375,1027752477.125,733812484.325
은평구,2020.0,93.5625,109.4375,11.0,23.875,3.6875,418873721.0875,533666103.08125,485967745.28125,659734041.3625,453177998.7375
종로구,2020.0,13.444444444444445,18.88888888888889,1.9444444444444444,5.555555555555555,3.5555555555555554,357955970.3722222,572094220.6111112,263574491.7388889,468869568.5,401088148.1666667
중구,2020.0,31.2,31.933333333333334,0.7333333333333333,14.466666666666667,5.4,465191212.5933333,638693069.8466667,233773333.33333334,857362186.0066667,672750873.02
중랑구,2020.0,99.3125,87.125,6.375,17.25,0.9375,342024799.54375,513578158.81875,319616123.1875,511617884.0375,343661458.33125
